Time,Open,High,Low,Close,Volume,OpenInterest
2026-08-20 23:00,519.0,520.75,517.0,517.25,6309.0,0
2026-08-21 00:00,517.5,519.75,517.5,518.5,3717.0,0
2026-08-21 01:00,518.5,518.5,516.75,517.0,2761.0,0
2026-08-21 07:00,515.5,516.0,514.0,514.75,2240.0,0
2026-08-21 08:00,515.0,516.25,514.0,514.75,1106.0,0
2026-08-21 09:00,514.75,516.0,514.5,515.0,347.0,0
2026-08-21 10:00,515.0,516.0,515.0,516.0,98.0,0
2026-08-21 11:00,515.75,516.25,515.75,515.75,39.0,0
2026-08-21 12:00,515.5,516.25,515.5,515.5,51.0,0
2026-08-21 13:00,515.75,515.75,514.75,515.5,175.0,0
2026-08-21 14:00,515.75,517.5,515.5,517.0,301.0,0
2026-08-21 15:00,517.0,518.0,516.25,517.5,514.0,0
2026-08-21 16:00,517.25,518.25,516.5,516.75,526.0,0
2026-08-21 17:00,516.5,517.75,515.75,517.75,439.0,0
2026-08-21 18:00,517.75,517.75,515.0,516.5,1293.0,0
2026-08-21 19:00,516.75,518.5,516.5,518.5,549.0,0
2026-08-21 20:00,517.5,521.75,516.75,520.5,4987.0,0
2026-08-21 21:00,520.75,522.5,520.25,521.75,5598.0,0
2026-08-21 22:00,522.0,522.5,518.75,521.5,6602.0,0
2026-08-21 23:00,521.75,523.0,519.5,520.75,4658.0,0
2026-08-22 00:00,520.75,522.75,520.5,522.25,3874.0,0
2026-08-22 01:00,522.5,524.0,522.5,523.25,4661.0,0
2026-08-24 07:00,525.0,536.0,524.75,535.5,8590.0,0
2026-08-24 08:00,535.75,536.5,534.0,535.25,1495.0,0
2026-08-24 09:00,535.25,535.75,534.75,535.75,244.0,0
2026-08-24 10:00,536.25,536.5,535.25,535.25,235.0,0
2026-08-24 11:00,534.75,535.0,533.75,534.0,174.0,0
2026-08-24 12:00,534.0,535.0,533.75,534.75,240.0,0
2026-08-24 13:00,534.75,534.75,532.75,532.75,761.0,0
2026-08-24 14:00,532.75,533.75,532.75,533.25,395.0,0
2026-08-24 15:00,533.5,534.5,533.0,533.0,458.0,0
2026-08-24 16:00,533.0,536.5,532.5,536.25,618.0,0
2026-08-24 17:00,536.25,538.75,536.25,537.0,649.0,0
2026-08-24 18:00,536.75,537.0,535.75,536.75,709.0,0
2026-08-24 19:00,537.0,537.0,534.5,535.25,1577.0,0
2026-08-24 20:00,534.0,534.25,527.75,528.5,6323.0,0
2026-08-24 21:00,528.5,530.0,526.25,529.25,7495.0,0
2026-08-24 22:00,529.25,534.5,529.0,533.75,4784.0,0
2026-08-24 23:00,534.25,537.25,534.0,535.0,5479.0,0
2026-08-25 00:00,535.25,535.5,529.5,530.25,5408.0,0
2026-08-25 01:00,530.25,530.75,529.5,529.75,4061.0,0
2026-08-25 07:00,530.0,532.5,529.75,531.0,1613.0,0
2026-08-25 08:00,531.75,532.5,531.5,532.25,137.0,0
2026-08-25 09:00,532.25,532.75,531.75,531.75,106.0,0
2026-08-25 10:00,532.0,532.75,532.0,532.5,54.0,0
2026-08-25 11:00,532.75,533.0,532.0,533.0,219.0,0
2026-08-25 12:00,533.0,533.75,532.25,532.25,148.0,0
2026-08-25 13:00,532.25,534.25,532.0,533.75,238.0,0
2026-08-25 14:00,534.0,535.0,532.25,532.25,553.0,0
2026-08-25 15:00,532.25,532.25,530.5,531.25,549.0,0
2026-08-25 16:00,531.5,531.75,529.5,529.5,971.0,0
2026-08-25 17:00,529.5,529.75,528.5,529.5,982.0,0
2026-08-25 18:00,529.5,530.25,528.5,530.0,1363.0,0
2026-08-25 19:00,530.0,531.0,527.5,528.25,2291.0,0
2026-08-25 20:00,527.5,532.25,527.25,532.25,6756.0,0
2026-08-25 21:00,532.25,534.0,530.25,531.5,7213.0,0
2026-08-25 22:00,531.5,535.75,531.5,535.25,6965.0,0
2026-08-25 23:00,535.25,538.5,534.75,537.0,5967.0,0
2026-08-26 00:00,537.25,538.75,536.25,538.5,7488.0,0
2026-08-26 01:00,538.5,539.25,536.5,539.25,6338.0,0
2026-08-26 07:00,538.25,539.0,536.5,538.75,2110.0,0
2026-08-26 08:00,538.5,542.75,538.5,542.5,1678.0,0
